dataset,mode,seed,threshold,edge_count,edge_count_true,f1_directed,precision,recall,shd,violations,constraint_cells_changed,selected
synthetic_n2000,unconstrained,44,0.34,45,65,0.3090909090909091,0.3777777777777777,0.2615384615384615,76,2,0,
synthetic_n2000,unconstrained,44,0.35,44,65,0.3119266055045871,0.3863636363636363,0.2615384615384615,75,2,0,
synthetic_n2000,unconstrained,44,0.4,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,2,0,
synthetic_n2000,unconstrained,44,0.5,39,65,0.3269230769230769,0.4358974358974359,0.2615384615384615,70,2,0,
synthetic_n2000,unconstrained,45,0.001,990,65,0.1213270142180094,0.0646464646464646,0.9846153846153848,927,32,0,
synthetic_n2000,unconstrained,45,0.005,928,65,0.1168177240684793,0.0625,0.8923076923076924,877,29,0,
synthetic_n2000,unconstrained,45,0.01,821,65,0.1196388261851015,0.0645554202192448,0.8153846153846154,780,25,0,
synthetic_n2000,unconstrained,45,0.02,620,65,0.1284671532846715,0.0709677419354838,0.676923076923077,597,22,0,
synthetic_n2000,unconstrained,45,0.03,453,65,0.1583011583011583,0.0905077262693156,0.6307692307692307,436,17,0,
synthetic_n2000,unconstrained,45,0.05,283,65,0.1781609195402299,0.1095406360424028,0.4769230769230769,286,12,0,
synthetic_n2000,unconstrained,45,0.075,197,65,0.2213740458015266,0.1472081218274111,0.4461538461538462,204,6,0,
synthetic_n2000,unconstrained,45,0.1,141,65,0.2621359223300971,0.1914893617021276,0.4153846153846154,152,4,0,
synthetic_n2000,unconstrained,45,0.15,85,65,0.2933333333333333,0.2588235294117647,0.3384615384615385,106,3,0,
synthetic_n2000,unconstrained,45,0.2,61,65,0.2857142857142857,0.2950819672131147,0.2769230769230769,90,1,0,
synthetic_n2000,unconstrained,45,0.25,51,65,0.293103448275862,0.3333333333333333,0.2615384615384615,82,1,0,yes
synthetic_n2000,unconstrained,45,0.26,51,65,0.293103448275862,0.3333333333333333,0.2615384615384615,82,1,0,
synthetic_n2000,unconstrained,45,0.27,50,65,0.2956521739130435,0.34,0.2615384615384615,81,1,0,
synthetic_n2000,unconstrained,45,0.275,47,65,0.3035714285714286,0.3617021276595745,0.2615384615384615,78,1,0,
synthetic_n2000,unconstrained,45,0.28,45,65,0.3090909090909091,0.3777777777777777,0.2615384615384615,76,0,0,
synthetic_n2000,unconstrained,45,0.285,45,65,0.3090909090909091,0.3777777777777777,0.2615384615384615,76,0,0,
synthetic_n2000,unconstrained,45,0.3,43,65,0.3148148148148148,0.3953488372093023,0.2615384615384615,74,0,0,
synthetic_n2000,unconstrained,45,0.302,43,65,0.3148148148148148,0.3953488372093023,0.2615384615384615,74,0,0,
synthetic_n2000,unconstrained,45,0.304,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,0,0,
synthetic_n2000,unconstrained,45,0.306,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,0,0,
synthetic_n2000,unconstrained,45,0.308,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,0,0,
synthetic_n2000,unconstrained,45,0.31,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,0,0,
synthetic_n2000,unconstrained,45,0.312,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,0,0,
synthetic_n2000,unconstrained,45,0.315,42,65,0.3177570093457944,0.4047619047619047,0.2615384615384615,73,0,0,
synthetic_n2000,unconstrained,45,0.32,40,65,0.3047619047619048,0.4,0.2461538461538461,73,0,0,
synthetic_n2000,unconstrained,45,0.325,39,65,0.3076923076923077,0.4102564102564102,0.2461538461538461,72,0,0,
synthetic_n2000,unconstrained,45,0.33,38,65,0.2912621359223301,0.3947368421052631,0.2307692307692307,73,0,0,
synthetic_n2000,unconstrained,45,0.335,38,65,0.2912621359223301,0.3947368421052631,0.2307692307692307,73,0,0,
synthetic_n2000,unconstrained,45,0.34,38,65,0.2912621359223301,0.3947368421052631,0.2307692307692307,73,0,0,
synthetic_n2000,unconstrained,45,0.35,37,65,0.2745098039215686,0.3783783783783784,0.2153846153846154,74,0,0,
synthetic_n2000,unconstrained,45,0.4,32,65,0.2680412371134021,0.40625,0.2,71,0,0,
synthetic_n2000,unconstrained,45,0.5,25,65,0.2888888888888889,0.52,0.2,64,0,0,
synthetic_n2000,unconstrained,46,0.001,992,65,0.1229895931882686,0.0655241935483871,1.0,927,32,0,
synthetic_n2000,unconstrained,46,0.005,981,65,0.1166347992351816,0.0621814475025484,0.9384615384615383,924,32,0,
synthetic_n2000,unconstrained,46,0.01,964,65,0.118561710398445,0.0632780082987551,0.9384615384615383,907,32,0,
synthetic_n2000,unconstrained,46,0.02,867,65,0.1137339055793991,0.0611303344867358,0.8153846153846154,826,29,0,
synthetic_n2000,unconstrained,46,0.03,770,65,0.1077844311377245,0.0584415584415584,0.6923076923076923,745,25,0,
synthetic_n2000,unconstrained,46,0.05,572,65,0.119309262166405,0.0664335664335664,0.5846153846153846,561,20,0,
synthetic_n2000,unconstrained,46,0.075,413,65,0.104602510460251,0.0605326876513317,0.3846153846153846,428,15,0,
synthetic_n2000,unconstrained,46,0.1,301,65,0.1147540983606557,0.0697674418604651,0.3230769230769231,324,14,0,
synthetic_n2000,unconstrained,46,0.15,181,65,0.097560975609756,0.0662983425414364,0.1846153846153846,222,10,0,
synthetic_n2000,unconstrained,46,0.2,116,65,0.0883977900552486,0.0689655172413793,0.123076923076923,165,7,0,
synthetic_n2000,unconstrained,46,0.25,73,65,0.1159420289855072,0.1095890410958904,0.123076923076923,122,5,0,yes
synthetic_n2000,unconstrained,46,0.26,66,65,0.1221374045801526,0.1212121212121212,0.123076923076923,115,5,0,
synthetic_n2000,unconstrained,46,0.27,64,65,0.1240310077519379,0.125,0.123076923076923,113,5,0,
synthetic_n2000,unconstrained,46,0.275,62,65,0.1259842519685039,0.1290322580645161,0.123076923076923,111,5,0,
synthetic_n2000,unconstrained,46,0.28,62,65,0.1259842519685039,0.1290322580645161,0.123076923076923,111,5,0,
synthetic_n2000,unconstrained,46,0.285,62,65,0.1259842519685039,0.1290322580645161,0.123076923076923,111,5,0,
synthetic_n2000,unconstrained,46,0.3,53,65,0.1186440677966101,0.1320754716981132,0.1076923076923077,104,5,0,
synthetic_n2000,unconstrained,46,0.302,52,65,0.1196581196581196,0.1346153846153846,0.1076923076923077,103,5,0,
synthetic_n2000,unconstrained,46,0.304,51,65,0.1206896551724138,0.1372549019607843,0.1076923076923077,102,5,0,
synthetic_n2000,unconstrained,46,0.306,51,65,0.1206896551724138,0.1372549019607843,0.1076923076923077,102,5,0,
synthetic_n2000,unconstrained,46,0.308,50,65,0.1217391304347826,0.14,0.1076923076923077,101,5,0,
synthetic_n2000,unconstrained,46,0.31,50,65,0.1217391304347826,0.14,0.1076923076923077,101,5,0,
synthetic_n2000,unconstrained,46,0.312,50,65,0.1217391304347826,0.14,0.1076923076923077,101,5,0,
synthetic_n2000,unconstrained,46,0.315,50,65,0.1217391304347826,0.14,0.1076923076923077,101,5,0,
synthetic_n2000,unconstrained,46,0.32,48,65,0.1238938053097345,0.1458333333333333,0.1076923076923077,99,5,0,
synthetic_n2000,unconstrained,46,0.325,47,65,0.125,0.1489361702127659,0.1076923076923077,98,5,0,
synthetic_n2000,unconstrained,46,0.33,46,65,0.1261261261261261,0.1521739130434782,0.1076923076923077,97,5,0,
synthetic_n2000,unconstrained,46,0.335,46,65,0.1261261261261261,0.1521739130434782,0.1076923076923077,97,5,0,
synthetic_n2000,unconstrained,46,0.34,45,65,0.1272727272727273,0.1555555555555555,0.1076923076923077,96,5,0,
synthetic_n2000,unconstrained,46,0.35,42,65,0.1308411214953271,0.1666666666666666,0.1076923076923077,93,5,0,
synthetic_n2000,unconstrained,46,0.4,37,65,0.1372549019607843,0.1891891891891892,0.1076923076923077,88,5,0,
synthetic_n2000,unconstrained,46,0.5,19,65,0.0476190476190476,0.1052631578947368,0.0307692307692307,80,4,0,
synthetic_n2000,constrained,42,0.001,956,65,0.1273261508325171,0.0679916317991631,1.0,891,0,0,
synthetic_n2000,constrained,42,0.005,933,65,0.1282565130260521,0.0685959271168274,0.9846153846153848,870,0,0,
synthetic_n2000,constrained,42,0.01,882,65,0.1288278775079197,0.0691609977324263,0.9384615384615383,825,0,0,
